config;m;L;W_measured;jobs_throughput;lambda_eff;E_X;W_little;little_error_pct
m05;0.5;29.745821600424854;5.915913855496161;4.998310555555555;4.998310555555555;2.5;5.95117515604603;0.5960414808459431
m10;1.0;16.919127273871;6.463122545637189;2.4997516666666666;2.4997516666666666;2.5;6.768323229655879;4.722186247647585
m14;1.4;15.1995933270499;7.95668972019468;1.7862916666666666;1.7862916666666666;2.5;8.509021013020401;6.941722151410065
m20;2.0;14.095988608319498;10.326884002901899;1.2520344444444444;1.2520344444444444;2.5;11.258467105970237;9.020950586900742
