Configurazione;m;Misura;Media;Margine ±;IC_inf;IC_sup;N_run
m05;0.5;N. medio utenti sistema;29.745821600424854;0.13666305432545084;29.609158546099405;29.882484654750304;20
m05;0.5;Tempo medio permanenza (s);5.915913855496161;0.023476097628784547;5.892437757867376;5.939389953124945;20
m05;0.5;Fattore di utilizzo;0.8644820159335229;0.0011063641580445606;0.8633756517754784;0.8655883800915675;20
m05;0.5;Durata media vacation (s);2.962476884109585;0.0037575478080374325;2.958719336301548;2.9662344319176226;20
m10;1.0;N. medio utenti sistema;16.919127273871;0.025758426573528195;16.89336884729747;16.944885700444527;20
m10;1.0;Tempo medio permanenza (s);6.463122545637189;0.007865811309553885;6.4552567343276355;6.470988356946743;20
m10;1.0;Fattore di utilizzo;0.4722368552589331;0.0010135302658868424;0.47122332499304626;0.47325038552481996;20
m10;1.0;Durata media vacation (s);2.9518390172969347;0.003307927218086011;2.948531090078849;2.9551469445150205;20
m14;1.4;N. medio utenti sistema;15.1995933270499;0.01560442920643962;15.183988897843461;15.21519775625634;20
m14;1.4;Tempo medio permanenza (s);7.95668972019468;0.014391187862824466;7.942298532331855;7.9710809080575045;20
m14;1.4;Fattore di utilizzo;0.3387464153892425;0.0009063693094416175;0.3378400460798009;0.3396527846986841;20
m14;1.4;Durata media vacation (s);2.9525391281194997;0.003790207835897828;2.948748920283602;2.9563293359553975;20
m20;2.0;N. medio utenti sistema;14.095988608319498;0.015057542073936942;14.080931066245562;14.111046150393435;20
m20;2.0;Tempo medio permanenza (s);10.326884002901899;0.02626793790385717;10.300616064998042;10.353151940805756;20
m20;2.0;Fattore di utilizzo;0.23720653905900546;0.0009567111122264136;0.23624982794677904;0.23816325017123188;20
m20;2.0;Durata media vacation (s);2.94955683898723;0.0033013592286167846;2.9462554797586136;2.952858198215847;20
